expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.H.A.2/001462-2023,PFC.H.A.2/001462-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001463-2023,PFC.H.A.2/001463-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001464-2023,PFC.H.A.2/001464-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001465-2023,PFC.H.A.2/001465-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001466-2023,PFC.H.A.2/001466-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001467-2023,PFC.H.A.2/001467-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001468-2023,PFC.H.A.2/001468-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001469-2023,PFC.H.A.2/001469-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001470-2023,PFC.H.A.2/001470-2023,"En Trámite",Desistimiento,Cambio
PFC.H.A.2/001471-2023,PFC.H.A.2/001471-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001472-2023,PFC.H.A.2/001472-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001473-2023,PFC.H.A.2/001473-2023,"En Trámite",Conciliada,Cambio
PFC.H.A.2/001474-2023,PFC.H.A.2/001474-2023,"En Trámite",Desistimiento,Cambio
